Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
11,Appalachian State,31,9,22,0.29,-7.91,-1.1,NA,7,13,NA,6,7,NA,2,12,NA,2187,2398,NA,1240,719,1795,0.401,256,720,0.356,493,701,0.703,393,1142,357,127,103,462,666,2015-2016
12,Arizona State,32,15,17,0.469,8.28,8.96,NA,5,13,NA,11,6,NA,3,9,NA,2345,2367,NA,1290,796,1919,0.415,254,757,0.336,499,726,0.687,394,1177,405,170,86,384,649,2015-2016
13,Arizona NCAA,34,25,9,0.735,18.79,7.23,NA,12,6,NA,17,1,NA,5,5,NA,2735,2342,NA,1390,946,1970,0.48,221,580,0.381,622,863,0.721,394,1368,485,164,161,442,621,2015-2016
14,Little Rock NCAA,35,30,5,0.857,7.12,-1.76,NA,17,3,NA,14,0,NA,12,4,NA,2487,2129,NA,1415,886,1958,0.453,266,693,0.384,449,616,0.729,324,1195,451,230,106,355,640,2015-2016
15,Arkansas-Pine Bluff,33,8,25,0.242,-19.31,-5.52,NA,6,12,NA,3,6,NA,4,17,NA,1867,2322,NA,1325,674,1722,0.391,202,666,0.303,317,519,0.611,322,1004,317,235,123,516,723,2015-2016
16,Arkansas State,31,11,20,0.355,-7.48,-2.37,NA,7,13,NA,9,6,NA,2,14,NA,2282,2353,NA,1260,770,1855,0.415,180,570,0.316,562,766,0.734,334,1243,381,157,136,398,613,2015-2016
17,Arkansas,32,16,16,0.5,10.23,6.76,NA,9,9,NA,13,4,NA,3,8,NA,2501,2390,NA,1305,883,1992,0.443,216,544,0.397,519,748,0.694,374,1187,518,233,165,357,687,2015-2016
18,Army,33,19,14,0.576,-7.32,-8.13,NA,9,9,NA,7,8,NA,11,6,NA,2539,2474,NA,1350,895,2084,0.429,294,877,0.335,455,656,0.694,408,1338,501,163,123,448,628,2015-2016
19,Auburn,31,11,20,0.355,0.15,7.54,NA,5,13,NA,8,7,NA,2,11,NA,2192,2421,NA,1245,724,1820,0.398,272,799,0.34,472,746,0.633,346,1134,352,166,126,428,658,2015-2016
20,Austin Peay NCAA,36,18,18,0.5,-6.04,-2.98,NA,7,9,NA,7,7,NA,7,9,NA,2740,2765,NA,1460,945,2049,0.461,223,645,0.346,627,936,0.67,422,1326,479,250,101,502,633,2015-2016
21,Ball State,35,21,14,0.6,0.11,-2.98,NA,10,8,NA,13,6,NA,6,8,NA,2479,2338,NA,1430,855,1919,0.446,305,818,0.373,464,670,0.693,330,1275,512,191,126,465,665,2015-2016
22,Baylor NCAA,34,22,12,0.647,16.13,9.76,NA,10,8,NA,15,5,NA,6,5,NA,2621,2366,NA,1375,933,2003,0.466,210,572,0.367,545,752,0.725,467,1267,603,269,135,432,660,2015-2016
23,Belmont,32,20,12,0.625,1.19,-2.1,NA,12,4,NA,11,1,NA,8,10,NA,2638,2510,NA,1285,914,1849,0.494,338,931,0.363,472,650,0.726,271,1105,544,145,81,450,639,2015-2016
24,Bethune-Cookman,32,14,18,0.438,-14.35,-9.18,NA,10,6,NA,9,2,NA,5,13,NA,2258,2330,NA,1295,799,1932,0.414,249,787,0.316,411,597,0.688,407,1186,371,197,191,415,601,2015-2016
25,Binghamton,30,8,22,0.267,-14.08,-6.35,NA,5,11,NA,5,9,NA,3,13,NA,1827,2059,NA,1205,629,1614,0.39,171,599,0.285,398,584,0.682,273,1023,333,161,68,419,558,2015-2016
26,Boise State,32,20,12,0.625,7.23,3.13,NA,11,7,NA,14,2,NA,5,7,NA,2480,2246,NA,1290,842,1859,0.453,261,788,0.331,535,755,0.709,315,1110,430,209,64,372,622,2015-2016
27,Boston College,32,7,25,0.219,-1.61,7.67,NA,0,18,NA,6,11,NA,0,10,NA,1959,2256,NA,1285,717,1751,0.409,231,713,0.324,294,452,0.65,243,993,410,181,93,431,579,2015-2016
28,Boston University,34,19,15,0.559,-6.79,-6.37,NA,11,7,NA,9,6,NA,10,9,NA,2483,2464,NA,1375,859,1893,0.454,272,748,0.364,493,688,0.717,311,1216,456,204,129,468,641,2015-2016
29,Bowling Green State,34,16,18,0.471,-5.88,-1.85,NA,5,13,NA,7,8,NA,7,8,NA,2400,2457,NA,1360,849,1913,0.444,203,563,0.361,499,761,0.656,345,1238,398,209,113,430,655,2015-2016
30,Bradley,32,5,27,0.156,-10.91,3.7,NA,3,15,NA,4,11,NA,1,12,NA,1793,2238,NA,1290,606,1596,0.38,165,590,0.28,416,628,0.662,276,1083,292,142,87,548,744,2015-2016
31,Brigham Young,37,26,11,0.703,12.36,2.36,NA,13,5,NA,17,2,NA,6,6,NA,3093,2692,NA,1485,1096,2369,0.463,330,863,0.382,571,827,0.69,441,1514,611,256,161,434,690,2015-2016
32,Brown,28,8,20,0.286,-8.05,-2.82,NA,3,11,NA,7,6,NA,1,13,NA,2040,2155,NA,1140,697,1625,0.429,225,639,0.352,421,600,0.702,272,1019,414,150,114,376,543,2015-2016
33,Bryant,31,8,23,0.258,-18.58,-6.71,NA,5,13,NA,4,10,NA,4,13,NA,2018,2361,NA,1250,755,1798,0.42,198,615,0.322,310,482,0.643,300,1048,415,176,83,420,591,2015-2016
34,Bucknell,31,17,14,0.548,-2.09,-5.89,NA,14,4,NA,8,7,NA,9,7,NA,2448,2288,NA,1265,831,1788,0.465,233,639,0.365,553,774,0.714,317,1137,489,204,100,423,657,2015-2016
35,Buffalo NCAA,35,20,15,0.571,1.34,0.9,NA,10,8,NA,10,5,NA,5,9,NA,2709,2634,NA,1410,915,2096,0.437,263,776,0.339,616,867,0.71,425,1363,441,240,124,475,748,2015-2016
36,Butler NCAA,33,22,11,0.667,16.46,7.55,NA,10,8,NA,13,3,NA,5,5,NA,2638,2344,NA,1325,918,1969,0.466,236,601,0.393,566,774,0.731,366,1188,468,227,107,335,646,2015-2016
37,Cal Poly,30,10,20,0.333,-3.49,0.9,NA,4,12,NA,5,7,NA,3,12,NA,2171,2255,NA,1220,755,1812,0.417,238,681,0.349,423,626,0.676,351,1095,425,163,96,308,602,2015-2016
38,Cal State Bakersfield NCAA,33,24,9,0.727,2.58,-5.15,NA,11,3,NA,14,1,NA,7,7,NA,2405,2104,NA,1330,875,1939,0.451,179,524,0.342,476,726,0.656,414,1263,516,263,165,405,707,2015-2016
39,Cal State Fullerton,30,10,20,0.333,-7.12,-0.76,NA,3,13,NA,5,8,NA,5,9,NA,2104,2227,NA,1205,698,1703,0.41,193,582,0.332,515,743,0.693,335,1116,304,147,48,393,610,2015-2016
40,Cal State Northridge,30,10,20,0.333,-6.85,-0.85,NA,5,11,NA,5,7,NA,4,12,NA,2143,2261,NA,1225,745,1723,0.432,126,425,0.296,527,735,0.717,303,1086,423,203,96,420,604,2015-2016
41,UC-Davis,30,11,19,0.367,-5.58,-1.26,NA,6,10,NA,8,7,NA,3,11,NA,1914,1980,NA,1225,697,1608,0.433,164,463,0.354,356,557,0.639,256,1033,342,186,49,427,531,2015-2016
42,UC-Irvine,38,28,10,0.737,5.33,0.77,NA,13,3,NA,11,2,NA,13,5,NA,2706,2512,NA,1535,977,2128,0.459,241,652,0.37,511,752,0.68,370,1416,568,217,198,471,706,2015-2016
43,UC-Riverside,33,14,19,0.424,-5.66,-3.08,NA,5,11,NA,7,9,NA,7,9,NA,2299,2300,NA,1320,788,1839,0.428,252,716,0.352,471,670,0.703,328,1164,410,170,101,433,654,2015-2016
44,UC-Santa Barbara,33,19,14,0.576,3.79,1.44,NA,11,5,NA,6,5,NA,10,6,NA,2335,2219,NA,1325,859,1944,0.442,251,697,0.36,366,522,0.701,345,1235,496,195,98,419,647,2015-2016
45,University of California NCAA,34,23,11,0.676,15.39,7.87,NA,12,6,NA,18,0,NA,4,7,NA,2545,2289,NA,1375,890,1931,0.461,236,651,0.363,529,806,0.656,386,1349,430,139,159,419,706,2015-2016
46,Campbell,30,12,18,0.4,-11.07,-6.67,NA,5,13,NA,7,9,NA,5,8,NA,2207,2203,NA,1205,744,1671,0.445,224,675,0.332,495,690,0.717,242,967,345,214,72,353,582,2015-2016
47,Canisius,33,14,19,0.424,-5.62,-3.77,NA,8,12,NA,7,7,NA,4,11,NA,2526,2587,NA,1355,845,2014,0.42,285,836,0.341,551,744,0.741,393,1116,466,199,88,370,640,2015-2016
48,Central Arkansas,28,7,21,0.25,-15.17,-6.81,NA,6,12,NA,4,6,NA,2,14,NA,2110,2344,NA,1120,734,1656,0.443,185,497,0.372,457,694,0.659,331,1044,370,152,104,407,575,2015-2016
49,Central Connecticut State,29,4,25,0.138,-22.35,-9.24,NA,3,15,NA,3,11,NA,1,14,NA,1888,2268,NA,1175,682,1704,0.4,164,480,0.342,360,530,0.679,335,1046,341,127,107,402,505,2015-2016
50,Central Florida,30,12,18,0.4,0.18,3.01,NA,6,12,NA,8,8,NA,4,9,NA,2062,2147,NA,1210,715,1663,0.43,207,650,0.318,425,619,0.687,329,1166,379,137,139,440,467,2015-2016
51,Central Michigan,33,17,16,0.515,-0.67,-1.3,NA,10,8,NA,13,4,NA,4,8,NA,2495,2401,NA,1325,867,1964,0.441,324,917,0.353,437,608,0.719,325,1152,441,155,90,303,608,2015-2016
52,Charleston Southern,30,9,21,0.3,-10.92,-2.59,NA,5,13,NA,6,8,NA,3,12,NA,2146,2253,NA,1210,774,1808,0.428,280,810,0.346,318,512,0.621,308,1053,379,153,63,378,576,2015-2016
53,Charlotte,33,14,19,0.424,-3.14,-1.72,NA,9,9,NA,8,7,NA,5,8,NA,2584,2631,NA,1340,920,2066,0.445,266,696,0.382,478,685,0.698,374,1196,481,204,73,396,588,2015-2016
54,Chattanooga NCAA,35,29,6,0.829,3.24,-3.46,NA,15,3,NA,13,1,NA,10,4,NA,2652,2364,NA,1410,897,1963,0.457,262,729,0.359,596,811,0.735,381,1241,504,272,165,437,596,2015-2016
55,Chicago State,32,4,28,0.125,-17.52,-1.38,NA,0,14,NA,4,9,NA,0,15,NA,2140,2478,NA,1280,764,1995,0.383,228,750,0.304,384,573,0.67,414,1172,375,246,98,458,697,2015-2016
56,Cincinnati NCAA,33,22,11,0.667,15.19,5.25,NA,12,6,NA,14,3,NA,6,6,NA,2418,2090,NA,1355,851,1980,0.43,252,725,0.348,464,658,0.705,441,1291,508,257,192,363,513,2015-2016
57,Citadel,32,10,22,0.313,-15.95,-4.75,NA,3,15,NA,6,8,NA,3,13,NA,2753,2962,NA,1285,938,2242,0.418,363,1121,0.324,514,704,0.73,404,1148,489,281,99,441,770,2015-2016
58,Clemson,31,17,14,0.548,12.03,6.87,NA,10,8,NA,13,4,NA,3,8,NA,2159,1999,NA,1250,753,1725,0.437,238,678,0.351,415,574,0.723,320,1076,411,179,162,315,511,2015-2016
59,Cleveland State,32,9,23,0.281,-9.17,0.09,NA,4,14,NA,5,9,NA,3,10,NA,1947,2169,NA,1285,704,1746,0.403,174,537,0.324,365,538,0.678,338,1061,327,196,87,459,670,2015-2016
60,Coastal Carolina,33,21,12,0.636,-1.85,-4.22,NA,12,6,NA,14,4,NA,7,5,NA,2410,2196,NA,1325,854,1909,0.447,244,716,0.341,458,689,0.665,377,1299,396,195,113,406,568,2015-2016
61,Colgate,30,13,17,0.433,-8.61,-6.06,NA,9,9,NA,8,4,NA,5,13,NA,2093,2145,NA,1220,747,1673,0.447,267,718,0.372,332,488,0.68,280,951,398,184,72,365,583,2015-2016
62,College of Charleston,31,17,14,0.548,2.37,0.04,NA,8,10,NA,10,5,NA,6,8,NA,2028,1921,NA,1250,722,1718,0.42,206,595,0.346,378,567,0.667,335,1090,361,222,75,393,620,2015-2016
63,Colorado State,34,18,16,0.529,2.31,1.53,NA,8,10,NA,12,5,NA,3,8,NA,2700,2626,NA,1400,878,2067,0.425,326,896,0.364,618,861,0.718,442,1359,455,131,77,395,657,2015-2016
64,Colorado NCAA,34,22,12,0.647,12.04,7.64,NA,10,8,NA,16,1,NA,4,7,NA,2576,2407,NA,1370,865,2029,0.426,252,647,0.389,594,808,0.735,446,1434,461,177,167,454,638,2015-2016
65,Columbia,35,25,10,0.714,3.45,-2.55,NA,10,4,NA,18,4,NA,7,6,NA,2670,2399,NA,1415,899,1986,0.453,336,893,0.376,536,745,0.719,366,1240,518,220,121,379,649,2015-2016
66,Connecticut NCAA,36,25,11,0.694,15.89,6.28,NA,11,7,NA,14,3,NA,6,4,NA,2631,2285,NA,1460,944,2078,0.454,255,699,0.365,488,615,0.793,338,1300,489,210,182,385,657,2015-2016
67,Coppin State,31,9,22,0.29,-15.75,-6.06,NA,6,10,NA,5,7,NA,3,14,NA,2240,2497,NA,1280,741,1933,0.383,238,715,0.333,520,737,0.706,406,1144,348,174,91,408,666,2015-2016
68,Cornell,28,10,18,0.357,-9.55,-1.04,NA,3,11,NA,5,8,NA,5,10,NA,1992,2193,NA,1130,703,1674,0.42,233,682,0.342,353,542,0.651,244,910,302,217,107,372,563,2015-2016
69,Creighton,35,20,15,0.571,13.69,6.44,NA,9,9,NA,14,5,NA,4,9,NA,2787,2533,NA,1400,979,2081,0.47,283,804,0.352,546,780,0.7,334,1299,537,211,108,406,661,2015-2016
70,Dartmouth,28,10,18,0.357,-5.58,-3.29,NA,4,10,NA,8,6,NA,2,12,NA,1992,1989,NA,1130,700,1606,0.436,156,458,0.341,436,603,0.723,335,1005,367,192,48,401,569,2015-2016
71,Davidson,33,20,13,0.606,5.74,5.14,NA,10,8,NA,15,1,NA,3,10,NA,2608,2576,NA,1325,894,2022,0.442,317,892,0.355,503,661,0.761,312,1154,497,154,102,335,567,2015-2016
72,Dayton NCAA,33,25,8,0.758,11.34,4.76,NA,14,4,NA,14,3,NA,8,2,NA,2393,2176,NA,1335,836,1836,0.455,221,643,0.344,500,749,0.668,327,1265,480,196,145,427,626,2015-2016
73,Delaware State,32,7,25,0.219,-20.88,-6.85,NA,5,11,NA,6,7,NA,1,17,NA,1980,2336,NA,1290,710,1815,0.391,230,698,0.33,330,536,0.616,340,1064,367,173,93,446,635,2015-2016
74,Delaware,30,7,23,0.233,-8.62,0.85,NA,2,16,NA,5,7,NA,2,15,NA,1986,2270,NA,1205,669,1663,0.402,168,517,0.325,480,701,0.685,330,1132,319,108,87,360,535,2015-2016
75,Denver,31,16,15,0.516,-3.34,-3.24,NA,7,9,NA,8,7,NA,6,6,NA,2021,2024,NA,1240,689,1449,0.476,235,613,0.383,408,530,0.77,168,781,443,198,71,404,593,2015-2016
76,DePaul,31,9,22,0.29,0.83,8.34,NA,3,15,NA,5,9,NA,3,10,NA,2092,2325,NA,1245,752,1691,0.445,168,490,0.343,420,618,0.68,317,1059,366,150,95,458,687,2015-2016
77,Detroit Mercy,31,16,15,0.516,-2.44,-0.82,NA,9,9,NA,11,4,NA,4,10,NA,2595,2567,NA,1245,898,1929,0.466,244,651,0.375,555,795,0.698,373,1169,409,213,133,422,706,2015-2016
78,Drake,31,7,24,0.226,-5.15,0.92,NA,2,16,NA,5,9,NA,0,12,NA,2093,2230,NA,1255,736,1639,0.449,215,559,0.385,406,562,0.722,253,1043,378,116,65,421,559,2015-2016
79,Drexel,31,6,25,0.194,-5.42,1.88,NA,3,15,NA,3,9,NA,2,12,NA,1958,2183,NA,1245,677,1721,0.393,170,517,0.329,434,634,0.685,324,1022,384,141,108,345,676,2015-2016
80,Duke NCAA,36,25,11,0.694,19.23,10.59,NA,11,7,NA,15,3,NA,5,4,NA,2920,2609,NA,1450,983,2136,0.46,328,851,0.385,626,866,0.723,426,1296,478,226,154,354,603,2015-2016
81,Duquesne,34,17,17,0.5,1.41,1.35,NA,6,12,NA,10,6,NA,4,8,NA,2704,2677,NA,1370,950,2056,0.462,322,883,0.365,482,698,0.691,347,1332,531,159,128,473,689,2015-2016
82,East Carolina,32,12,20,0.375,-0.38,3.22,NA,4,14,NA,8,8,NA,3,10,NA,2186,2301,NA,1305,761,1790,0.425,232,683,0.34,432,620,0.697,320,1093,486,183,64,424,536,2015-2016
83,East Tennessee State,36,24,12,0.667,-1.49,-2.29,NA,14,4,NA,13,2,NA,8,8,NA,2813,2687,NA,1455,984,2135,0.461,295,779,0.379,550,774,0.711,376,1300,447,240,136,462,724,2015-2016
84,Eastern Illinois,30,13,17,0.433,-8.35,-3.52,NA,9,7,NA,9,5,NA,4,9,NA,2145,2213,NA,1220,764,1737,0.44,232,664,0.349,385,587,0.656,299,1002,417,177,68,364,583,2015-2016
85,Eastern Kentucky,31,15,16,0.484,-3.53,-3.86,NA,6,10,NA,10,6,NA,5,10,NA,2497,2453,NA,1240,864,1760,0.491,258,653,0.395,511,700,0.73,274,1004,495,218,95,457,665,2015-2016
86,Eastern Michigan,33,18,15,0.545,-0.14,1.24,NA,9,9,NA,14,3,NA,4,11,NA,2553,2460,NA,1330,875,1961,0.446,187,602,0.311,616,854,0.721,387,1194,379,312,122,425,674,2015-2016
87,Eastern Washington,34,18,16,0.529,-4.47,-6.03,NA,10,8,NA,11,2,NA,5,12,NA,2769,2617,NA,1360,961,1989,0.483,356,924,0.385,491,719,0.683,319,1133,449,202,129,381,658,2015-2016
88,Elon,32,16,16,0.5,-0.67,0.66,NA,7,11,NA,8,8,NA,8,7,NA,2429,2413,NA,1285,865,1942,0.445,303,885,0.342,396,599,0.661,335,1185,488,176,72,411,607,2015-2016
89,Evansville,34,25,9,0.735,8.1,-0.39,NA,12,6,NA,13,3,NA,8,4,NA,2526,2221,NA,1370,879,1795,0.49,158,448,0.353,610,843,0.724,260,1202,595,178,147,426,601,2015-2016
90,Fairfield,33,19,14,0.576,-3.84,-3.14,NA,12,8,NA,11,5,NA,7,7,NA,2522,2545,NA,1345,875,1991,0.439,293,827,0.354,479,650,0.737,298,1146,503,213,135,427,633,2015-2016
91,Fairleigh Dickinson NCAA,33,18,15,0.545,-10.9,-8.31,NA,11,7,NA,9,6,NA,9,8,NA,2558,2600,NA,1335,929,2029,0.458,238,657,0.362,462,663,0.697,348,1108,472,250,87,423,720,2015-2016
92,Florida A&M,29,8,21,0.276,-21.74,-10.67,NA,4,12,NA,6,6,NA,1,14,NA,1863,2128,NA,1190,644,1606,0.401,168,555,0.303,407,691,0.589,293,1010,319,192,65,466,566,2015-2016
93,Florida Atlantic,33,8,25,0.242,-10.3,-1.72,NA,5,13,NA,5,7,NA,2,14,NA,2189,2445,NA,1325,752,1847,0.407,229,678,0.338,456,624,0.731,282,1071,385,175,140,402,631,2015-2016
94,Florida Gulf Coast NCAA,35,21,14,0.6,-0.79,-3.82,NA,8,6,NA,16,4,NA,4,8,NA,2703,2473,NA,1435,1008,2106,0.479,186,527,0.353,501,778,0.644,417,1422,483,230,141,438,674,2015-2016
95,Florida International,32,13,19,0.406,-5.25,-4.81,NA,7,11,NA,7,9,NA,5,8,NA,2277,2242,NA,1300,834,1779,0.469,181,499,0.363,428,645,0.664,328,1196,391,162,148,414,598,2015-2016
96,Florida State,34,20,14,0.588,12.16,8.16,NA,8,10,NA,11,4,NA,4,8,NA,2652,2516,NA,1365,948,2042,0.464,220,645,0.341,536,771,0.695,389,1257,453,243,139,441,656,2015-2016
97,Florida,36,21,15,0.583,14.69,9.19,NA,9,9,NA,12,4,NA,6,9,NA,2677,2479,NA,1445,930,2186,0.425,258,810,0.319,559,863,0.648,470,1436,480,235,152,405,700,2015-2016
98,Fordham,31,17,14,0.548,1.87,-0.09,NA,8,10,NA,14,5,NA,3,7,NA,2206,2128,NA,1255,782,1744,0.448,243,702,0.346,399,586,0.681,320,1060,488,263,121,438,610,2015-2016
99,Fresno State NCAA,35,25,10,0.714,5.27,2.24,NA,13,5,NA,16,2,NA,6,7,NA,2630,2475,NA,1420,926,2126,0.436,219,638,0.343,559,805,0.694,409,1293,466,295,138,378,764,2015-2016
100,Furman,35,19,16,0.543,-2.83,-4.2,NA,11,7,NA,14,2,NA,3,12,NA,2487,2333,NA,1400,847,1865,0.454,253,785,0.322,540,777,0.695,387,1250,424,217,115,471,622,2015-2016
101,Gardner-Webb,33,17,16,0.515,-6.92,-3.96,NA,10,8,NA,9,4,NA,5,11,NA,2476,2451,NA,1335,871,2039,0.427,276,807,0.342,458,701,0.653,435,1257,442,265,113,439,666,2015-2016
102,George Mason,32,11,21,0.344,-1.79,3.62,NA,5,13,NA,7,8,NA,2,11,NA,2140,2313,NA,1290,766,1888,0.406,172,589,0.292,436,650,0.671,419,1359,328,92,119,407,570,2015-2016
103,George Washington,38,28,10,0.737,11.43,4.24,NA,11,7,NA,16,3,NA,8,5,NA,2875,2602,NA,1530,980,2194,0.447,269,726,0.371,646,858,0.753,453,1442,535,230,125,426,621,2015-2016
104,Georgetown,33,15,18,0.455,10.31,8.49,NA,7,11,NA,9,8,NA,4,8,NA,2430,2370,NA,1335,820,1858,0.441,261,770,0.339,529,704,0.751,316,1181,492,180,146,442,755,2015-2016
105,Georgia Southern,31,14,17,0.452,-5.65,-3.14,NA,10,10,NA,10,4,NA,4,12,NA,2353,2307,NA,1250,781,1903,0.41,282,834,0.338,509,728,0.699,374,1131,344,232,73,359,691,2015-2016
