Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
297,Stony Brook NCAA,33,26,7,0.788,3.75,-5.28,NA,14,2,NA,15,1,NA,11,5,NA,2515,2115,NA,1325,933,1992,0.468,220,598,0.368,429,637,0.673,426,1312,541,204,150,379,523,2015-2016
298,Syracuse NCAA,37,23,14,0.622,14.62,9.75,NA,9,9,NA,13,4,NA,3,7,NA,2589,2409,NA,1495,884,2080,0.425,315,876,0.36,506,736,0.688,445,1319,493,300,162,440,598,2015-2016
299,Temple NCAA,33,21,12,0.636,7.69,6.57,NA,14,4,NA,11,3,NA,8,4,NA,2267,2230,NA,1345,822,2021,0.407,255,757,0.337,368,538,0.684,371,1225,445,173,103,305,535,2015-2016
300,Tennessee-Martin,35,20,15,0.571,-5.57,-4.72,NA,10,6,NA,11,2,NA,8,10,NA,2554,2494,NA,1420,888,2000,0.444,274,789,0.347,504,711,0.709,371,1279,425,203,70,426,609,2015-2016
301,Tennessee State,31,20,11,0.645,-1.81,-5.3,NA,11,5,NA,11,3,NA,7,7,NA,2273,2134,NA,1260,795,1760,0.452,173,517,0.335,510,734,0.695,352,1149,328,250,113,426,639,2015-2016
302,Tennessee Tech,31,19,12,0.613,-3.21,-3.66,NA,11,5,NA,14,1,NA,5,9,NA,2416,2340,NA,1245,792,1730,0.458,266,731,0.364,566,762,0.743,291,1102,442,159,119,383,600,2015-2016
303,Tennessee,34,15,19,0.441,7.8,7.86,NA,6,12,NA,12,4,NA,1,11,NA,2554,2556,NA,1360,890,2116,0.421,251,767,0.327,523,721,0.725,428,1292,459,180,156,380,662,2015-2016
304,Texas A&M-Corpus Christi,33,25,8,0.758,-3.18,-5.44,NA,15,3,NA,13,1,NA,10,6,NA,2428,2308,NA,1320,838,1918,0.437,215,631,0.341,537,728,0.738,373,1159,421,306,149,419,700,2015-2016
305,Texas A&M NCAA,37,28,9,0.757,18.45,8.45,NA,13,5,NA,17,1,NA,5,5,NA,2828,2458,NA,1500,991,2208,0.449,281,824,0.341,565,841,0.672,477,1461,612,260,133,434,668,2015-2016
306,Texas-Arlington,35,24,11,0.686,5.02,-3.42,NA,13,7,NA,13,2,NA,10,8,NA,2762,2417,NA,1415,956,2249,0.425,307,942,0.326,543,780,0.696,520,1530,590,261,99,482,730,2015-2016
