Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
176,Miami (OH),32,11,21,0.344,-8.16,-2.1,NA,4,14,NA,10,8,NA,1,13,NA,2249,2384,NA,1290,787,1815,0.434,199,647,0.308,476,689,0.691,298,1091,364,238,125,467,642,2016-2017
177,Michigan State NCAA,35,20,15,0.571,13.67,10.5,NA,10,8,NA,14,2,NA,2,7,NA,2515,2404,NA,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699,2016-2017
178,Michigan NCAA,38,26,12,0.684,18.8,10.17,NA,10,8,NA,15,3,NA,3,8,NA,2851,2523,NA,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571,2016-2017
179,Middle Tennessee NCAA,36,31,5,0.861,9.8,-0.48,NA,17,1,NA,13,2,NA,11,2,NA,2697,2299,NA,1445,1014,2077,0.488,228,622,0.367,441,631,0.699,355,1273,552,242,100,374,655,2016-2017
180,Milwaukee,35,11,24,0.314,-7.37,-2.17,NA,4,14,NA,5,8,NA,2,13,NA,2347,2494,NA,1430,860,1949,0.441,272,782,0.348,355,538,0.66,293,1107,467,164,53,409,641,2016-2017
181,Minnesota NCAA,34,24,10,0.706,14.56,8.82,NA,11,7,NA,17,3,NA,5,5,NA,2556,2361,NA,1390,887,2037,0.435,209,610,0.343,573,806,0.711,378,1341,507,194,227,393,577,2016-2017
182,Mississippi State,32,16,16,0.5,7.12,5.9,NA,6,12,NA,10,7,NA,2,8,NA,2320,2281,NA,1285,821,1849,0.444,247,711,0.347,431,627,0.687,310,1130,386,239,131,433,638,2016-2017
183,Mississippi Valley State,32,7,25,0.219,-20.54,-7.11,NA,7,11,NA,5,4,NA,2,20,NA,2235,2665,NA,1295,818,1942,0.421,174,508,0.343,423,651,0.65,385,1108,374,218,60,460,624,2016-2017
184,Mississippi,36,22,14,0.611,9.65,7.99,NA,10,8,NA,13,6,NA,6,6,NA,2807,2747,NA,1450,914,2162,0.423,283,815,0.347,696,926,0.752,458,1422,465,243,149,516,702,2016-2017
185,Missouri-Kansas City,35,18,17,0.514,-4.97,-1.06,NA,8,6,NA,12,5,NA,4,10,NA,2691,2753,NA,1405,911,2076,0.439,315,848,0.371,554,777,0.713,352,1213,451,236,92,510,772,2016-2017
186,Missouri State,33,17,16,0.515,2.84,1.18,NA,7,11,NA,11,6,NA,4,8,NA,2403,2277,NA,1345,838,1895,0.442,270,744,0.363,457,652,0.701,377,1212,403,176,127,406,585,2016-2017
187,Missouri,32,8,24,0.25,2.98,6.73,NA,2,16,NA,6,11,NA,0,9,NA,2213,2333,NA,1290,744,1893,0.393,225,739,0.304,500,732,0.683,357,1168,386,200,68,384,647,2016-2017
188,Monmouth,34,27,7,0.794,4.94,-2.62,NA,18,2,NA,13,2,NA,12,4,NA,2761,2504,NA,1375,929,2127,0.437,303,813,0.373,600,793,0.757,380,1310,431,235,155,425,697,2016-2017
189,Montana State,32,16,16,0.5,-6.14,-5.88,NA,11,7,NA,12,5,NA,4,10,NA,2561,2532,NA,1320,857,1968,0.435,320,853,0.375,527,722,0.73,336,1167,423,181,74,393,732,2016-2017
190,Montana,32,16,16,0.5,-2.67,-4.02,NA,11,7,NA,8,5,NA,7,8,NA,2391,2348,NA,1290,843,1879,0.449,238,667,0.357,467,621,0.752,310,1084,416,181,91,345,699,2016-2017
191,Morehead State,30,14,16,0.467,-3.6,-1.85,NA,10,6,NA,10,4,NA,4,11,NA,2370,2311,NA,1215,878,1906,0.461,219,568,0.386,395,544,0.726,396,1129,482,202,95,404,633,2016-2017
192,Morgan State,30,14,16,0.467,-15.03,-11.2,NA,11,5,NA,9,5,NA,5,10,NA,2025,2121,NA,1210,691,1793,0.385,159,541,0.294,484,681,0.711,424,1168,322,170,101,420,602,2016-2017
193,Mount St. Mary's NCAA,36,20,16,0.556,-4.29,-3.51,NA,14,4,NA,11,4,NA,8,11,NA,2446,2474,NA,1445,877,1977,0.444,261,730,0.358,431,640,0.673,276,1082,403,222,142,472,640,2016-2017
194,Murray State,33,16,17,0.485,-3.06,-4.41,NA,8,8,NA,10,4,NA,3,11,NA,2639,2543,NA,1350,899,2040,0.441,289,803,0.36,552,751,0.735,399,1243,458,198,75,403,659,2016-2017
195,Navy,32,16,16,0.5,-4.11,-3.92,NA,10,8,NA,11,5,NA,5,9,NA,2076,2055,NA,1285,735,1740,0.422,206,670,0.307,400,624,0.641,424,1134,433,227,66,464,594,2016-2017
196,Omaha,32,18,14,0.563,-2.24,-1.11,NA,9,7,NA,8,4,NA,8,9,NA,2685,2673,NA,1295,895,1972,0.454,297,765,0.388,598,799,0.748,338,1149,442,262,107,444,616,2016-2017
197,Nebraska,31,12,19,0.387,6.47,10.74,NA,6,12,NA,8,8,NA,3,8,NA,2168,2264,NA,1260,793,1906,0.416,179,560,0.32,403,568,0.71,411,1187,354,211,116,411,577,2016-2017
198,Nevada-Las Vegas,32,11,21,0.344,-3.75,2.59,NA,4,14,NA,9,10,NA,2,9,NA,2202,2405,NA,1295,747,1893,0.395,213,666,0.32,495,711,0.696,365,1210,412,189,85,410,539,2016-2017
199,Nevada NCAA,35,28,7,0.8,10.49,2.03,NA,14,4,NA,13,1,NA,8,4,NA,2792,2496,NA,1405,933,2082,0.448,320,837,0.382,606,859,0.705,386,1351,559,189,152,386,581,2016-2017
200,New Hampshire,32,20,12,0.625,-3.57,-4.46,NA,10,6,NA,11,4,NA,9,8,NA,2277,2118,NA,1300,783,1787,0.438,256,727,0.352,455,628,0.725,324,1227,398,129,59,401,505,2016-2017
201,New Mexico State NCAA,34,28,6,0.824,4.66,-3.82,NA,11,3,NA,17,1,NA,8,4,NA,2678,2310,NA,1365,913,1957,0.467,252,747,0.337,600,843,0.712,436,1339,505,166,128,465,627,2016-2017
