Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
1,Abilene Christian,32,16,16,0.5,-9.14,-6.82,NA,8,10,NA,9,6,NA,6,9,NA,2359,2279,NA,1290,870,1874,0.464,213,656,0.325,406,579,0.701,309,1093,482,260,128,461,671,2017-2018
2,Air Force,31,12,19,0.387,-4.31,1.72,NA,6,12,NA,9,7,NA,3,10,NA,2124,2244,NA,1245,733,1751,0.419,250,755,0.331,408,556,0.734,302,1014,445,201,78,391,557,2017-2018
3,Akron,32,14,18,0.438,-6.82,-1.92,NA,6,12,NA,12,4,NA,2,10,NA,2296,2411,NA,1295,793,1824,0.435,305,851,0.358,405,582,0.696,306,1071,418,189,81,440,637,2017-2018
4,Alabama A&M,31,3,28,0.097,-23.97,-8.04,NA,3,15,NA,2,9,NA,1,18,NA,1873,2367,NA,1245,673,1697,0.397,182,601,0.303,345,533,0.647,335,1046,340,123,49,514,506,2017-2018
5,Alabama-Birmingham,33,20,13,0.606,4.9,-0.65,NA,10,8,NA,14,3,NA,5,6,NA,2536,2303,NA,1330,945,1937,0.488,223,646,0.345,423,564,0.75,333,1255,560,178,127,437,490,2017-2018
6,Alabama State,31,8,23,0.258,-18.55,-8.62,NA,8,10,NA,4,8,NA,4,13,NA,2129,2437,NA,1245,751,1839,0.408,209,638,0.328,418,647,0.646,394,1131,313,169,130,437,648,2017-2018
7,Alabama NCAA,36,20,16,0.556,12.34,10.64,NA,8,10,NA,12,4,NA,2,8,NA,2604,2543,NA,1440,910,1975,0.461,229,702,0.326,555,828,0.67,360,1290,458,228,192,513,676,2017-2018
8,Albany (NY),32,22,10,0.688,0.01,-5.41,NA,10,6,NA,14,3,NA,8,7,NA,2375,2182,NA,1280,839,1836,0.457,184,502,0.367,513,680,0.754,377,1191,405,150,91,371,528,2017-2018
9,Alcorn State,32,11,21,0.344,-18.07,-8.6,NA,7,11,NA,9,5,NA,2,16,NA,2244,2388,NA,1285,791,1824,0.434,239,697,0.343,423,598,0.707,305,1104,419,200,85,459,613,2017-2018
10,American,30,6,24,0.2,-14.63,-6.17,NA,3,15,NA,4,8,NA,2,16,NA,1961,2215,NA,1205,698,1615,0.432,239,709,0.337,326,491,0.664,242,869,367,217,98,413,550,2017-2018
11,Appalachian State,33,15,18,0.455,-4.81,-2.65,NA,9,9,NA,9,4,NA,4,11,NA,2520,2448,NA,1340,864,1983,0.436,292,859,0.34,500,749,0.668,389,1292,411,198,117,457,627,2017-2018
12,Arizona State NCAA,32,20,12,0.625,14.37,6.56,NA,8,10,NA,13,4,NA,4,6,NA,2645,2395,NA,1290,888,1920,0.463,288,793,0.363,581,793,0.733,315,1126,458,209,114,343,604,2017-2018
13,Arizona NCAA,35,27,8,0.771,15.67,6.84,NA,14,4,NA,15,1,NA,8,3,NA,2818,2509,NA,1420,1009,2003,0.504,237,642,0.369,563,741,0.76,353,1277,531,173,158,426,603,2017-2018
14,Little Rock,32,7,25,0.219,-10.44,-2.21,NA,4,14,NA,5,10,NA,2,14,NA,2038,2242,NA,1300,750,1756,0.427,200,623,0.321,338,554,0.61,322,1089,391,159,93,459,612,2017-2018
15,Arkansas-Pine Bluff,35,14,21,0.4,-14.84,-9.36,NA,12,6,NA,7,3,NA,6,13,NA,2307,2499,NA,1410,815,1863,0.437,217,660,0.329,460,681,0.675,279,1024,427,275,144,500,684,2017-2018
16,Arkansas State,32,11,21,0.344,-9.65,-3.02,NA,6,12,NA,7,7,NA,4,13,NA,2369,2523,NA,1290,841,1910,0.44,236,695,0.34,451,628,0.718,359,1072,344,215,95,419,589,2017-2018
17,Arkansas NCAA,35,23,12,0.657,14.76,9.85,NA,10,8,NA,15,2,NA,3,7,NA,2819,2647,NA,1415,1005,2119,0.474,269,681,0.395,540,793,0.681,351,1208,501,218,163,381,700,2017-2018
