Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
18,Army,30,13,17,0.433,-8.62,-7.17,NA,6,12,NA,6,5,NA,4,12,NA,2230,2223,NA,1205,820,1845,0.444,295,771,0.383,295,448,0.658,302,1073,501,170,83,403,593,2017-2018
19,Auburn NCAA,34,26,8,0.765,15.97,7.29,NA,13,5,NA,15,1,NA,7,4,NA,2783,2488,NA,1360,906,2102,0.431,324,908,0.357,647,836,0.774,407,1290,481,252,180,411,672,2017-2018
20,Austin Peay,34,19,15,0.559,-3.28,-2.49,NA,12,6,NA,13,5,NA,5,9,NA,2512,2446,NA,1370,915,2012,0.455,202,592,0.341,480,737,0.651,444,1209,453,225,103,478,671,2017-2018
21,Ball State,32,19,13,0.594,-1.22,-1.99,NA,10,8,NA,14,2,NA,5,10,NA,2410,2362,NA,1295,856,1895,0.452,245,727,0.337,453,643,0.705,320,1210,453,170,112,423,547,2017-2018
22,Baylor,34,19,15,0.559,14.59,9.17,NA,8,10,NA,15,5,NA,2,9,NA,2571,2369,NA,1375,941,2007,0.469,217,608,0.357,470,640,0.734,400,1292,516,185,152,463,608,2017-2018
23,Belmont,33,24,9,0.727,5.54,-2.88,NA,15,3,NA,14,2,NA,9,6,NA,2562,2284,NA,1320,901,1853,0.486,378,1005,0.376,382,517,0.739,258,1133,529,161,82,410,531,2017-2018
24,Bethune-Cookman,32,18,14,0.563,-12.21,-12.48,NA,12,4,NA,10,3,NA,8,10,NA,2621,2543,NA,1290,903,2039,0.443,241,759,0.318,575,820,0.701,424,1346,501,202,123,507,670,2017-2018
25,Binghamton,31,11,20,0.355,-10.29,-6.36,NA,2,14,NA,7,7,NA,3,12,NA,2147,2181,NA,1245,787,1775,0.443,235,671,0.35,338,528,0.64,283,1066,376,170,131,381,522,2017-2018
26,Boise State,32,23,9,0.719,11.21,3.05,NA,13,5,NA,15,1,NA,6,6,NA,2502,2210,NA,1300,878,1903,0.461,307,809,0.379,439,595,0.738,321,1232,427,183,70,433,573,2017-2018
27,Boston College,35,19,16,0.543,9,7.2,NA,7,11,NA,14,3,NA,2,11,NA,2673,2610,NA,1415,948,2105,0.45,298,831,0.359,479,646,0.741,369,1293,492,175,110,441,570,2017-2018
28,Boston University,31,15,16,0.484,-8.34,-5.84,NA,10,8,NA,6,7,NA,9,9,NA,2186,2226,NA,1240,800,1730,0.462,229,614,0.373,357,559,0.639,301,1044,420,229,103,427,531,2017-2018
29,Bowling Green State,32,16,16,0.5,-6.38,-2.88,NA,7,11,NA,9,6,NA,6,9,NA,2429,2490,NA,1305,827,1963,0.421,241,690,0.349,534,730,0.732,372,1226,425,189,82,408,569,2017-2018
30,Bradley,33,20,13,0.606,2.08,0.36,NA,9,9,NA,13,2,NA,4,9,NA,2223,2136,NA,1320,768,1788,0.43,217,613,0.354,470,665,0.707,359,1178,447,214,133,441,626,2017-2018
31,Brigham Young,35,24,11,0.686,8.04,1.53,NA,11,7,NA,13,3,NA,7,6,NA,2600,2372,NA,1415,919,1905,0.482,225,649,0.347,537,716,0.75,242,1146,533,224,133,403,596,2017-2018
32,Brown,27,11,16,0.407,-7.78,-4.67,NA,4,10,NA,8,5,NA,3,11,NA,2080,2133,NA,1100,695,1631,0.426,186,588,0.316,504,667,0.756,310,988,338,174,81,364,565,2017-2018
33,Bryant,31,3,28,0.097,-18.75,-5.43,NA,2,16,NA,1,11,NA,2,17,NA,2169,2582,NA,1245,771,1881,0.41,259,755,0.343,368,522,0.705,312,1000,417,190,43,401,600,2017-2018
34,Bucknell NCAA,35,25,10,0.714,4.48,-3.46,NA,16,2,NA,15,1,NA,10,8,NA,2837,2559,NA,1420,965,2050,0.471,280,804,0.348,627,872,0.719,325,1281,505,194,152,437,655,2017-2018
35,Buffalo NCAA,36,27,9,0.75,7.99,0.25,NA,15,3,NA,14,1,NA,8,5,NA,3047,2742,NA,1455,1105,2334,0.473,351,948,0.37,486,695,0.699,430,1388,597,225,146,446,755,2017-2018
36,Butler NCAA,35,21,14,0.6,16.92,10.55,NA,9,9,NA,14,3,NA,3,7,NA,2763,2540,NA,1430,1020,2155,0.473,287,805,0.357,436,562,0.776,324,1198,489,232,100,391,642,2017-2018
37,Cal Poly,31,9,22,0.29,-11.55,-1.83,NA,4,12,NA,7,6,NA,1,13,NA,2082,2302,NA,1270,721,1817,0.397,267,746,0.358,373,478,0.78,291,1034,372,154,122,366,565,2017-2018
38,Cal State Bakersfield,30,12,18,0.4,-6.58,-0.73,NA,5,9,NA,8,4,NA,3,12,NA,1981,2068,NA,1200,697,1670,0.417,185,613,0.302,402,578,0.696,343,1068,387,182,87,416,597,2017-2018
39,Cal State Fullerton NCAA,32,20,12,0.625,-0.92,-1.02,NA,10,6,NA,9,4,NA,7,7,NA,2318,2245,NA,1290,804,1721,0.467,167,500,0.334,543,745,0.729,280,1123,403,201,106,455,578,2017-2018
40,Cal State Northridge,30,6,24,0.2,-13.51,-3.55,NA,3,13,NA,4,9,NA,2,13,NA,1983,2206,NA,1215,731,1689,0.433,186,514,0.362,335,473,0.708,247,940,366,149,74,365,533,2017-2018
41,UC-Davis,33,22,11,0.667,0.94,-1.84,NA,12,4,NA,10,2,NA,9,7,NA,2388,2241,NA,1360,834,1792,0.465,213,572,0.372,505,705,0.716,267,1064,409,233,77,425,644,2017-2018
42,UC-Irvine,35,18,17,0.514,-0.21,-0.33,NA,11,5,NA,7,5,NA,7,10,NA,2440,2350,NA,1410,900,2061,0.437,220,657,0.335,420,593,0.708,420,1443,430,178,140,487,719,2017-2018
43,UC-Riverside,31,9,22,0.29,-8.5,-1.53,NA,4,12,NA,6,8,NA,3,13,NA,2024,2163,NA,1245,716,1779,0.402,185,597,0.31,407,580,0.702,310,1089,389,190,95,428,617,2017-2018
44,UC-Santa Barbara,32,23,9,0.719,2.1,-3.36,NA,11,5,NA,12,2,NA,9,6,NA,2425,2211,NA,1285,877,1891,0.464,257,674,0.381,414,594,0.697,326,1176,481,154,118,337,536,2017-2018
45,University of California,32,8,24,0.25,-3.4,6.06,NA,2,16,NA,5,12,NA,3,8,NA,2166,2483,NA,1285,767,1887,0.406,148,518,0.286,484,717,0.675,426,1140,313,220,154,470,648,2017-2018
46,Campbell,34,18,16,0.529,-5.68,-6.68,NA,10,8,NA,14,4,NA,4,11,NA,2581,2412,NA,1370,891,1867,0.477,313,806,0.388,486,648,0.75,231,1085,482,228,137,403,579,2017-2018
47,Canisius,33,21,12,0.636,0.44,-4.8,NA,15,3,NA,11,3,NA,8,8,NA,2519,2346,NA,1325,901,1942,0.464,304,874,0.348,413,581,0.711,336,1101,553,232,95,430,624,2017-2018
48,Central Arkansas,35,18,17,0.514,-5.83,-5.97,NA,10,8,NA,9,5,NA,8,11,NA,2819,2766,NA,1425,980,2162,0.453,286,804,0.356,573,780,0.735,359,1271,566,233,180,480,690,2017-2018
49,Central Connecticut State,32,14,18,0.438,-11.62,-7.59,NA,7,11,NA,8,4,NA,6,14,NA,2171,2300,NA,1305,788,1740,0.453,198,601,0.329,397,568,0.699,321,1130,397,161,107,473,549,2017-2018
50,Central Florida,32,19,13,0.594,4.75,3.75,NA,9,9,NA,12,4,NA,5,6,NA,2007,1975,NA,1285,690,1627,0.424,177,538,0.329,450,702,0.641,305,1108,339,169,111,431,488,2017-2018
51,Central Michigan,36,21,15,0.583,-1.39,-3.24,NA,7,11,NA,12,5,NA,6,9,NA,2835,2661,NA,1465,953,2187,0.436,356,1037,0.343,573,711,0.806,408,1305,492,228,119,417,573,2017-2018
52,Charleston Southern,31,15,16,0.484,-8.15,-6.15,NA,9,9,NA,9,6,NA,6,10,NA,2232,2133,NA,1260,802,1793,0.447,208,631,0.33,420,581,0.723,345,1071,368,224,106,408,517,2017-2018
53,Charlotte,29,6,23,0.207,-10.13,0.27,NA,2,16,NA,4,11,NA,2,12,NA,2066,2317,NA,1165,706,1634,0.432,198,563,0.352,456,637,0.716,270,990,319,165,65,428,524,2017-2018
54,Chattanooga,33,10,23,0.303,-11.09,-4.05,NA,3,15,NA,8,8,NA,1,14,NA,2289,2424,NA,1345,784,1804,0.435,276,776,0.356,445,626,0.711,307,1072,421,166,69,460,507,2017-2018
55,Chicago State,32,3,29,0.094,-21.53,1.17,NA,1,13,NA,3,8,NA,0,19,NA,2171,2756,NA,1280,774,1898,0.408,169,549,0.308,454,627,0.724,323,1042,367,232,81,483,697,2017-2018
56,Cincinnati NCAA,36,31,5,0.861,20.25,3.53,NA,16,2,NA,15,1,NA,9,2,NA,2673,2071,NA,1440,944,2100,0.45,262,742,0.353,523,756,0.692,479,1413,570,256,194,404,561,2017-2018
57,Citadel,32,11,21,0.344,-13.63,-2.94,NA,5,13,NA,7,8,NA,3,12,NA,2639,2819,NA,1290,889,2148,0.414,386,1133,0.341,475,673,0.706,376,1183,528,301,99,477,586,2017-2018
58,Clemson NCAA,35,25,10,0.714,17.17,9.25,NA,11,7,NA,15,1,NA,4,6,NA,2584,2307,NA,1410,899,1971,0.456,288,786,0.366,498,660,0.755,313,1256,463,198,169,414,564,2017-2018
59,Cleveland State,35,12,23,0.343,-10.82,-3.64,NA,6,12,NA,7,7,NA,2,15,NA,2402,2613,NA,1410,853,1965,0.434,294,863,0.341,402,572,0.703,270,1063,456,231,90,458,595,2017-2018
60,Coastal Carolina,32,14,18,0.438,-3.91,-2.4,NA,8,10,NA,7,9,NA,5,7,NA,2298,2241,NA,1290,787,1813,0.434,218,660,0.33,506,702,0.721,388,1244,418,171,116,479,608,2017-2018
61,Colgate,33,19,14,0.576,-4.86,-5.73,NA,12,6,NA,13,3,NA,6,11,NA,2394,2315,NA,1320,829,1897,0.437,309,856,0.361,427,552,0.774,299,1083,426,201,110,363,542,2017-2018
62,College of Charleston NCAA,34,26,8,0.765,1.83,-3.29,NA,14,4,NA,14,0,NA,7,6,NA,2536,2331,NA,1385,875,1905,0.459,259,720,0.36,527,699,0.754,286,1129,387,177,119,339,563,2017-2018
63,Colorado State,32,11,21,0.344,-3.86,3.79,NA,4,14,NA,8,8,NA,3,10,NA,2314,2537,NA,1295,811,1941,0.418,225,684,0.329,467,651,0.717,375,1200,409,190,102,426,624,2017-2018
64,Colorado,32,17,15,0.531,6.07,7,NA,8,10,NA,12,3,NA,1,10,NA,2307,2337,NA,1295,810,1839,0.44,241,672,0.359,446,612,0.729,324,1200,409,140,122,451,619,2017-2018
65,Columbia,27,8,19,0.296,-5.64,-3.02,NA,5,9,NA,7,5,NA,1,14,NA,2062,2085,NA,1090,746,1686,0.442,269,733,0.367,301,407,0.74,277,962,384,177,93,338,504,2017-2018
66,Connecticut,32,14,18,0.438,1.08,6.05,NA,7,11,NA,11,5,NA,2,9,NA,2181,2340,NA,1300,762,1832,0.416,215,659,0.326,442,593,0.745,336,1096,334,190,119,403,592,2017-2018
67,Coppin State,32,5,27,0.156,-20.97,-7.25,NA,5,11,NA,4,6,NA,1,20,NA,1945,2384,NA,1305,657,1824,0.36,265,869,0.305,366,497,0.736,273,1082,338,172,82,462,649,2017-2018
68,Cornell,28,12,16,0.429,-8.8,-3.24,NA,6,8,NA,8,4,NA,4,11,NA,2124,2250,NA,1150,744,1613,0.461,217,639,0.34,419,574,0.73,232,961,449,144,98,376,499,2017-2018
69,Creighton NCAA,33,21,12,0.636,16.35,8.1,NA,10,8,NA,16,2,NA,4,7,NA,2756,2444,NA,1330,1008,2050,0.492,343,923,0.372,397,531,0.748,249,1206,588,187,88,371,501,2017-2018
70,Dartmouth,27,7,20,0.259,-10.31,-4,NA,3,11,NA,6,6,NA,1,14,NA,1841,1970,NA,1085,651,1454,0.448,200,557,0.359,339,475,0.714,208,847,359,152,86,365,421,2017-2018
71,Davidson NCAA,33,21,12,0.636,11.02,2.57,NA,13,5,NA,11,1,NA,6,8,NA,2519,2240,NA,1335,899,1874,0.48,353,907,0.389,368,461,0.798,229,1078,551,155,65,315,503,2017-2018
72,Dayton,31,14,17,0.452,1.64,2.7,NA,8,10,NA,12,4,NA,1,10,NA,2244,2277,NA,1260,804,1671,0.481,248,736,0.337,388,531,0.731,240,968,488,162,78,426,510,2017-2018
73,Delaware State,32,4,28,0.125,-24.59,-9.32,NA,2,14,NA,4,9,NA,0,18,NA,2034,2458,NA,1300,742,1781,0.417,192,591,0.325,358,516,0.694,340,1066,348,189,83,489,560,2017-2018
74,Delaware,33,14,19,0.424,-6.93,-2.96,NA,6,12,NA,7,8,NA,4,10,NA,2338,2428,NA,1330,859,1880,0.457,192,584,0.329,428,657,0.651,314,1150,386,164,75,354,554,2017-2018
75,Denver,30,15,15,0.5,-5.22,-2.54,NA,8,6,NA,10,4,NA,3,9,NA,2192,2189,NA,1220,803,1699,0.473,211,527,0.4,375,540,0.694,311,1107,452,129,72,451,561,2017-2018
76,DePaul,31,11,20,0.355,6.55,8.45,NA,4,14,NA,6,10,NA,4,7,NA,2230,2289,NA,1245,819,1912,0.428,194,626,0.31,398,562,0.708,383,1160,465,200,94,430,553,2017-2018
77,Detroit Mercy,32,8,24,0.25,-12.47,-2.07,NA,4,14,NA,5,11,NA,2,11,NA,2516,2743,NA,1285,883,2031,0.435,281,815,0.345,469,621,0.755,337,1114,437,212,88,435,649,2017-2018
78,Drake,34,17,17,0.5,-0.51,0.59,NA,10,8,NA,11,3,NA,4,11,NA,2506,2495,NA,1390,862,1972,0.437,289,795,0.364,493,640,0.77,279,1158,504,204,86,412,530,2017-2018
79,Drexel,33,13,20,0.394,-7.2,-2.48,NA,6,12,NA,9,5,NA,2,11,NA,2454,2591,NA,1340,880,1994,0.441,227,699,0.325,467,646,0.723,369,1197,380,176,138,409,583,2017-2018
80,Duke NCAA,37,29,8,0.784,24.44,9.71,NA,13,5,NA,15,1,NA,6,5,NA,3121,2576,NA,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,496,1519,648,275,185,460,574,2017-2018
81,Duquesne,32,16,16,0.5,-1.08,-3.33,NA,7,11,NA,13,6,NA,2,7,NA,2317,2245,NA,1310,801,1874,0.427,261,745,0.35,454,663,0.685,387,1148,382,186,140,383,598,2017-2018
82,East Carolina,30,10,20,0.333,-8.72,-0.22,NA,4,14,NA,8,11,NA,2,8,NA,1993,2248,NA,1215,741,1723,0.43,182,597,0.305,329,494,0.666,292,1020,388,148,93,431,530,2017-2018
83,East Tennessee State,34,25,9,0.735,3.72,-4.09,NA,14,4,NA,12,4,NA,11,4,NA,2556,2241,NA,1360,926,1957,0.473,244,711,0.343,460,648,0.71,352,1265,500,265,146,454,613,2017-2018
84,Eastern Illinois,31,12,19,0.387,-8.33,-3.4,NA,7,11,NA,7,6,NA,4,12,NA,2065,2120,NA,1245,732,1726,0.424,224,627,0.357,377,551,0.684,332,1064,392,182,138,417,509,2017-2018
85,Eastern Kentucky,31,11,20,0.355,-10.57,-3.68,NA,5,13,NA,6,7,NA,5,12,NA,2230,2371,NA,1245,778,1779,0.437,226,638,0.354,448,600,0.747,297,1022,405,193,113,401,542,2017-2018
86,Eastern Michigan,35,22,13,0.629,-0.23,-2.81,NA,11,7,NA,14,3,NA,7,9,NA,2509,2339,NA,1415,933,2010,0.464,234,698,0.335,409,599,0.683,357,1230,450,303,227,447,559,2017-2018
87,Eastern Washington,35,20,15,0.571,-0.03,-1.55,NA,13,5,NA,11,1,NA,6,12,NA,2619,2520,NA,1410,936,2017,0.464,310,828,0.374,437,572,0.764,258,1163,440,185,106,402,667,2017-2018
88,Elon,32,14,18,0.438,-6.89,-1.69,NA,6,12,NA,8,5,NA,4,12,NA,2346,2437,NA,1320,842,1916,0.439,337,966,0.349,325,457,0.711,258,1140,507,140,66,373,494,2017-2018
89,Evansville,32,17,15,0.531,0.69,1.35,NA,7,11,NA,15,3,NA,2,10,NA,2094,2045,NA,1285,731,1652,0.442,184,448,0.411,448,578,0.775,247,1058,417,190,92,431,568,2017-2018
90,Fairfield,33,17,16,0.515,-4.98,-3.68,NA,9,9,NA,10,3,NA,3,10,NA,2506,2549,NA,1345,881,2009,0.439,303,893,0.339,441,621,0.71,299,1159,487,211,95,421,663,2017-2018
91,Fairleigh Dickinson,31,13,18,0.419,-10.42,-5.66,NA,9,9,NA,8,5,NA,5,13,NA,2313,2350,NA,1240,842,1868,0.451,213,623,0.342,416,573,0.726,339,1067,416,220,100,426,561,2017-2018
92,Florida A&M,34,9,25,0.265,-19.22,-8.34,NA,7,9,NA,6,4,NA,2,20,NA,2343,2684,NA,1385,831,1981,0.419,217,616,0.352,464,641,0.724,348,1094,370,194,104,471,612,2017-2018
93,Florida Atlantic,31,12,19,0.387,-5.36,-0.14,NA,6,12,NA,7,7,NA,4,10,NA,2155,2172,NA,1245,790,1929,0.41,179,551,0.325,396,536,0.739,357,1194,376,182,124,393,557,2017-2018
94,Florida Gulf Coast,35,23,12,0.657,1.93,-5.44,NA,12,2,NA,14,6,NA,9,6,NA,2847,2515,NA,1400,1045,2117,0.494,254,699,0.363,503,680,0.74,368,1338,535,256,97,494,653,2017-2018
95,Florida International,32,14,18,0.438,-4.3,-1.99,NA,8,10,NA,11,7,NA,3,9,NA,2262,2278,NA,1310,815,1912,0.426,203,632,0.321,429,704,0.609,319,1150,378,242,102,354,585,2017-2018
96,Florida State NCAA,35,23,12,0.657,15.79,8.5,NA,9,9,NA,13,2,NA,4,7,NA,2806,2551,NA,1420,994,2125,0.468,273,781,0.35,543,786,0.691,398,1322,523,241,186,456,652,2017-2018
97,Florida NCAA,34,21,13,0.618,16.67,10.08,NA,11,7,NA,12,5,NA,5,4,NA,2577,2353,NA,1375,893,2065,0.432,308,832,0.37,483,673,0.718,367,1198,445,237,164,335,591,2017-2018
98,Fordham,31,9,22,0.29,-6.74,1.26,NA,4,14,NA,8,9,NA,1,10,NA,1931,2179,NA,1250,692,1680,0.412,227,787,0.288,320,452,0.708,199,884,419,283,74,386,491,2017-2018
99,Fresno State,32,21,11,0.656,8.17,1.84,NA,11,7,NA,12,5,NA,8,5,NA,2459,2201,NA,1295,885,1805,0.49,216,548,0.394,473,682,0.694,293,1082,415,217,104,384,626,2017-2018
100,Furman,33,23,10,0.697,4.43,-3.64,NA,13,5,NA,13,3,NA,7,6,NA,2619,2260,NA,1325,942,2006,0.47,338,950,0.356,397,557,0.713,317,1157,526,265,72,382,531,2017-2018
101,Gardner-Webb,32,14,18,0.438,-9.68,-3.79,NA,9,9,NA,11,2,NA,3,13,NA,2258,2307,NA,1300,822,1850,0.444,236,676,0.349,378,526,0.719,300,1141,415,195,92,437,568,2017-2018
102,George Mason,33,16,17,0.485,-2.99,0.83,NA,9,9,NA,10,7,NA,5,7,NA,2371,2497,NA,1345,841,1949,0.432,230,705,0.326,459,619,0.742,329,1213,378,200,96,425,541,2017-2018
103,George Washington,33,15,18,0.455,-0.72,2.13,NA,7,11,NA,13,5,NA,1,10,NA,2225,2319,NA,1320,832,1861,0.447,180,561,0.321,381,537,0.709,350,1120,440,189,163,419,486,2017-2018
104,Georgetown,30,15,15,0.5,7.16,5.29,NA,5,13,NA,11,8,NA,4,6,NA,2350,2294,NA,1235,800,1763,0.454,226,618,0.366,524,676,0.775,327,1151,522,164,110,458,531,2017-2018
105,Georgia Southern,33,21,12,0.636,-0.54,-3.28,NA,11,7,NA,10,3,NA,8,7,NA,2504,2315,NA,1325,857,1992,0.43,267,784,0.341,523,789,0.663,401,1248,333,227,120,372,633,2017-2018
106,Georgia State NCAA,35,24,11,0.686,3.23,-2.78,NA,12,6,NA,11,3,NA,9,6,NA,2614,2356,NA,1415,937,2033,0.461,323,839,0.385,417,615,0.678,309,1182,455,256,160,395,639,2017-2018
107,Georgia Tech,32,13,19,0.406,5.25,7.47,NA,6,12,NA,12,7,NA,1,10,NA,2101,2172,NA,1285,753,1770,0.425,156,490,0.318,439,616,0.713,334,1084,409,221,171,411,533,2017-2018
108,Georgia,33,18,15,0.545,10.24,8.87,NA,7,11,NA,11,4,NA,4,9,NA,2247,2202,NA,1340,767,1825,0.42,201,632,0.318,512,732,0.699,406,1301,402,126,156,420,533,2017-2018
109,Gonzaga NCAA,37,32,5,0.865,18.43,2.59,NA,17,1,NA,15,1,NA,10,1,NA,3091,2505,NA,1500,1125,2261,0.498,328,891,0.368,513,725,0.708,413,1477,564,234,134,420,631,2017-2018
110,Grambling,31,17,14,0.548,-12.97,-10.3,NA,13,5,NA,6,4,NA,11,10,NA,2257,2321,NA,1250,777,1852,0.42,154,470,0.328,547,769,0.711,378,1193,342,239,113,477,674,2017-2018
111,Grand Canyon,34,22,12,0.647,3.76,-4.81,NA,9,5,NA,16,3,NA,3,7,NA,2512,2213,NA,1370,855,1992,0.429,251,779,0.322,551,785,0.702,405,1310,540,211,134,450,685,2017-2018
112,Green Bay,33,13,20,0.394,-8.51,-4.08,NA,7,11,NA,10,6,NA,2,13,NA,2517,2499,NA,1330,859,2027,0.424,295,813,0.363,504,670,0.752,334,1241,459,226,100,453,635,2017-2018
113,Hampton,34,18,16,0.529,-8.85,-9.57,NA,11,4,NA,11,3,NA,5,11,NA,2703,2603,NA,1370,970,2173,0.446,198,627,0.316,565,727,0.777,385,1372,518,183,123,440,672,2017-2018
114,Hartford,33,19,14,0.576,-5.54,-5.26,NA,11,5,NA,9,7,NA,9,6,NA,2326,2318,NA,1325,835,1840,0.454,270,783,0.345,386,569,0.678,278,1100,433,200,123,402,601,2017-2018
115,Harvard,32,18,14,0.563,-0.28,-1.7,NA,12,2,NA,10,2,NA,6,11,NA,2182,2129,NA,1305,764,1775,0.43,257,729,0.353,397,512,0.775,284,1115,406,173,118,445,575,2017-2018
116,Hawaii,30,17,13,0.567,-2.32,-2.5,NA,8,8,NA,13,7,NA,4,5,NA,2104,2071,NA,1215,721,1630,0.442,202,613,0.33,460,670,0.687,266,995,428,169,59,402,584,2017-2018
117,High Point,30,14,16,0.467,-6.74,-6.37,NA,9,9,NA,11,4,NA,3,11,NA,2126,1993,NA,1205,775,1691,0.458,163,456,0.357,413,588,0.702,324,1039,353,222,82,375,545,2017-2018
118,Hofstra,31,19,12,0.613,-0.53,-1.6,NA,12,6,NA,9,4,NA,9,4,NA,2464,2397,NA,1245,868,1868,0.465,260,693,0.375,468,686,0.682,341,1103,413,156,83,334,576,2017-2018
119,Holy Cross,31,12,19,0.387,-9.93,-5.83,NA,8,10,NA,6,7,NA,6,10,NA,1972,2099,NA,1250,724,1569,0.461,203,623,0.326,321,465,0.69,178,880,421,193,105,381,537,2017-2018
120,Houston Baptist,31,6,25,0.194,-16.14,-3.96,NA,2,16,NA,5,8,NA,1,16,NA,2382,2617,NA,1250,860,2058,0.418,219,677,0.323,443,710,0.624,477,1219,432,206,90,438,605,2017-2018
121,Houston NCAA,35,27,8,0.771,15.99,4.16,NA,14,4,NA,15,0,NA,6,5,NA,2685,2271,NA,1400,952,2066,0.461,297,768,0.387,484,674,0.718,408,1352,505,218,106,418,737,2017-2018
122,Howard,33,10,23,0.303,-17.26,-9.75,NA,7,9,NA,7,4,NA,2,18,NA,2449,2654,NA,1345,847,1997,0.424,268,772,0.347,487,688,0.708,372,1153,407,178,93,442,676,2017-2018
